transaction_id, customer_name, product_id, quantity, total_cost, transaction_date 
66    , Richard Garza       , 63    , 9  , 2028.1  , 2025-05-03
67    , Lynn Day            , 341   , 4  , 1172.97 , 2025-02-21
68    , David Charles       , 386   , 7  , 2190.09 , 2025-05-01
69    , Willie Zimmerman    , 171   , 8  , 3134.97 , 2025-03-21
70    , Jennifer Murray     , 733   , 7  , 1479.55 , 2025-04-27
71    , Brittany Williams   , 443   , 8  , 3036.25 , 2025-02-26
72    , Joshua Moore        , 659   , 7  , 2546.71 , 2025-04-22
73    , Jane Wood           , 661   , 7  , 3244.9  , 2025-05-02
74    , Bryce Ibarra        , 885   , 8  , 1500.35 , 2025-03-17
75    , Joseph Dickerson    , 747   , 1  , 152.77  , 2025-04-14
76    , Victor King         , 629   , 2  , 63.44   , 2025-03-27
77    , Alexis Richards     , 379   , 6  , 122.69  , 2025-04-24
78    , Melissa Logan       , 159   , 3  , 600.86  , 2025-03-13
79    , Oscar Nguyen        , 334   , 4  , 1851.07 , 2025-03-04
80    , Andrew Cabrera      , 648   , 6  , 1936.75 , 2025-02-16
81    , Derek Everett       , 563   , 9  , 2370.47 , 2025-04-16
82    , Brenda Harmon       , 782   , 4  , 1344.84 , 2025-03-21
83    , Theresa Thompson    , 880   , 10 , 4986.05 , 2025-03-25
84    , Jessica Shannon     , 371   , 6  , 952.74  , 2025-04-04
85    , Heather Collins     , 499   , 5  , 306.45  , 2025-03-23
86    , Angela Jones        , 851   , 9  , 2628.05 , 2025-04-04
87    , Jonathan Gonzalez   , 584   , 2  , 599.68  , 2025-04-08
88    , Christine Dean      , 666   , 6  , 1384.68 , 2025-05-06
89    , Richard Barr        , 632   , 2  , 373.5   , 2025-02-26
90    , Eric Davis          , 37    , 10 , 3425.92 , 2025-02-24
91    , Lisa Guerra         , 203   , 4  , 199.7   , 2025-03-10
92    , Jennifer Perkins    , 63    , 3  , 676.03  , 2025-03-08
93    , James Thomas        , 448   , 4  , 575.14  , 2025-04-18
94    , Erica Thompson      , 378   , 4  , 65.01   , 2025-04-06
95    , William Murphy      , 610   , 3  , 675.56  , 2025-05-07
96    , Christopher Cline   , 532   , 7  , 761.54  , 2025-04-09
97    , Timothy Hull        , 318   , 8  , 2806.6  , 2025-04-07
98    , Gregory George      , 524   , 7  , 815.69  , 2025-02-18
99    , Meghan Berry        , 23    , 10 , 4628.08 , 2025-03-14
100   , Zachary Price       , 814   , 9  , 2722.12 , 2025-04-08
